,CIVIL,TARs
121,20200208,"HD 113457, LHA 120-N 122, LHA 120-N 221, HD  52493, Hen 2-86, HD  50853, HD  41076, HD 106308, IC 2501, UCAC4 324-083149, 2MASS J16024152-2138245, HD 110737, Cl* Westerlund 1 W 36, 2MASS J06502136-2127458, HD 151966, HD 145127, HD 106906B"
122,20190304,"V* GI Tau, BD+02  1729, EM* LkCa   15, V* IQ Tau, V* V830 Tau, V* V827 Tau, HD  25152, V* AA Tau, V* CI Tau, V* DK Tau, * k Tau, L 1551-51"
123,20170310,"* mu. Ser, *  50 Lib, V* AG Dra, *  81 UMa, Ross  905, SS 433, *   5 Vul, HD 92787, HD  92787, IRC +10322"
124,20210130,"HD  98660, HD  57652, HD 116038, GSC 09420-00948, V* T Cha, HD  98671, IRAS 07131-0147, HD 108913, HD 100546, * ksi01 Cen"
125,20190116,"HR 4705, HR 4041, * 24 Tau, HR 9019, 2MASS J04422101+2520343, HD 127304, HR 2314"
126,20210203,"HD 113457, MSX6C G308.9176+00.1231, HD 139129, MSX5C G305.2017+00.2072"
127,20181029,"[HJS91] 4872, V* HN Tau, V* DK Tau, V* GI Tau, BD+02  1729, EM* LkCa   15, 4U 1954+31, V* IQ Tau, V* V827 Tau, V* GM Tau, L 1551-51, V* DM Tau, HD  29526, V* V1023 Tau, V* V1069 Tau, V* AA Tau, V* CI Tau, V* V830 Tau, HD  25152, HD 53205, Haro 6-28"
128,20180522,"HD  95534, IRAS 18270-0153, 2MASS J16171898-2437186, BKLT J162726-241925, HD 159312, IRAS 16289-4449, Ton2-4, [RR90] Oph 2320.8-1721, HD  70175, V* V5128 Sgr, Ton2-3, Ton2-2, 2MASS J08173001-6155158, HD 145127"
129,20180605,"WSB 63, LP  636-19, HD 206766, Ter2-2, G 155-29, HD 159312, PM J21374-0555, IRAS 16289-4449, HD 145127, 2MASS J15550513-2026077"
130,20160328,"HD  47827, *  30 Cam, HD 124683, *  85 Gem, HD 114611, * b Vir, HD 145127, * q Vir, BD+33  1979, HD 155379, *   3 Cam, V* VX Pyx, *  12 Cam, HBC 254B, BD+44  2051B, K2-33, YLW 52, HD 108474, HD 106497, *  33 LMi, BD+20  1790"
131,20181120,"Haro 6-32, HD  23258, V* V1115 Tau, 2MASS J05404991-0806084, [EES2009] Per-emb 38, EM* LkCa    4, ESO-HA 1732, V* V1023 Tau, HD  21379, 2MASS J05391963-0726193, V* V1647 Ori, HD  25175, 2MASS J04035084+2610531, * k Tau, RAFGL 5163, [EES2009] Per-emb 50, V* V1096 Tau"
132,20201224,"CPD-57  1131, HD  59218, IRAS 07299-1651, StKM 1-497, * eta01 Dor, HD 311345, HD  29926, CD-50  2604, V* AK Vol, HD  59169, CD-42  3328, ASAS J073642+0354.3, HD  59629, HD   9892"
133,20160722,"HD 171149, MSX6C G033.3892+00.1989, HD 174567, HD 145188, K2-33, HD 179070"
134,20210211,"HD 113694, NAME Cha J1305-7739"
135,20210502,"CD-29  5912, * rho Vir, BD-18  2608, HD 169961, TOI-1827.01, HD  70963, HD 120620, HD 121447, HD 109860, THA 34-30, *  94 Vir, HD 116869, *  85 Vir"
136,20170312,"HD  60275, V* TW Hya, BD+44  2051B, HBC 650, 2MASS J16171898-2437186, HD  78955, HD 156717, BD+16  2708B, *  85 Gem, HD 131951, *  33 LMi, BD+20  1790, *  18 Ori, BD+16  2708, HD 119752, V* RW Hya, HD 163336"
137,20201113,"HD   1777, WRAY 15-488, HD 202941, HD  29433, ESO-HA  148, LHA 115-N   4, 2MASS J21140802-2251358"
